Employee Identifier,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
48508,Police Officer,107618.43,11223.24,12039.3,130880.97,19983.54,13890.29,2187.39,36061.22,166942.19
39843,Police Officer,15800.01,3036.58,3234.83,22071.42,2963.85,2057.82,370.64,5392.31,27463.73
46976,Police Officer,105797.07,12666.82,6954.23,125418.12,19646.76,13890.29,1753.36,35290.41,160708.53
35145,Police Officer,60295.31,374.18,693.48,61362.97,10803.28,9774.65,4296.35,24874.28,86237.25
16774,Police Officer,84618.53,18362.09,7146.93,110127.55,15640.12,13774.53,2228.26,31642.91,141770.46
5119,Police Officer,25353,3.67,381.47,25738.14,4596.51,4167.09,1957.65,10721.25,36459.39
27928,Police Officer,85336.95,5826.46,5086.52,96249.93,15772.38,13890.28,1990.86,31653.52,127903.45
25071,Police Officer,90295.99,34031.2,10233.77,134560.96,16792.73,13890.28,2211.16,32894.17,167455.13
6423,Police Officer,86749.1,14754.35,6276.84,107780.29,16137.75,13890.3,1804.88,31832.93,139613.22
20969,Police Officer,85336.96,18256.66,9226.92,112820.54,15867.11,13890.28,1841.49,31598.88,144419.42
15483,Police Officer,11118.8,0,0,11118.8,1984.3,1800.59,858.2,4643.09,15761.89
56788,Police Officer,66555.31,2116.62,755.85,69427.78,11968.86,10803.56,4411.15,27183.57,96611.35
7513,Police Officer,11175.5,0,0,11175.5,1983.66,1800.59,836.59,4620.84,15796.34
52877,Police Officer,66555.33,200.81,2247.58,69003.72,11968.88,10803.56,4396.77,27169.21,96172.93
27493,Police Officer,26125.9,0,0,26125.9,4648.07,4218.54,2027.78,10894.39,37020.29
46636,Police Officer,88174.5,14033.93,8458.07,110666.5,16243.56,13890.29,1856.01,31989.86,142656.36
5839,Police Officer,77030.12,11057.76,6210.72,94298.6,14351.38,11832.46,1581.5,27765.34,122063.94
17471,Police Officer,66555.3,1902.09,1421.89,69879.28,11968.85,10803.56,4418.75,27191.16,97070.44
37084,Police Officer,11175.5,0,0,11175.5,1983.66,1800.59,829.4,4613.65,15789.15
37391,Police Officer,73550.56,104.77,451.53,74106.86,13280.67,11961.09,4440.12,29681.88,103788.74
45864,Police Officer,85137.8,16202.22,8540.38,109880.4,15830.05,13825.98,1842.76,31498.79,141379.19
22505,Police Officer,118770.06,2651.64,10301.47,131723.17,20886.36,13890.29,2251.02,37027.67,168750.84
54413,Police Officer,66555.31,53.64,2055.51,68664.46,11968.86,10803.56,4380.92,27153.34,95817.8
8494,Police Officer,72961.37,28374.51,7014.3,108350.18,13600.03,11253.71,1818.7,26672.44,135022.62
46657,Police Officer,87662.01,1627.22,2164.05,91453.28,15479,10289.1,636.1,26404.2,117857.48
13143,Police Officer,118336.57,65483.59,12324.5,196144.66,20808.85,13838.85,3263.63,37911.33,234055.99
31028,Police Officer,75945.32,1924.46,3120.67,80990.45,13717.24,12346.92,4550.79,30614.95,111605.4
28974,Police Officer,107666.45,10892.37,14197.12,132755.94,19992.38,13890.28,2220.28,36102.94,168858.88
19855,Police Officer,0,0,719.9,719.9,0,0,10.44,10.44,730.34
28869,Police Officer,15776.5,4477.7,866.79,21120.99,2959.47,2057.82,347.1,5364.39,26485.38
28418,Police Officer,88045.34,20877.35,8836.49,117759.18,16374.86,13890.28,1975.56,32240.7,149999.88
51084,Police Officer,85887.04,8189.03,2581.51,96657.58,15989.29,11318.01,1621.62,28928.92,125586.5
41749,Police Officer,66555.31,0,0,66555.31,11907.57,10803.56,5137.41,27848.54,94403.85
48434,Police Officer,79475.93,17965.91,5605.36,103047.2,14803.13,12314.77,1724.67,28842.57,131889.77
22935,Police Officer,85556.98,11321.18,9653.55,106531.71,15907.22,13890.28,1776.96,31574.46,138106.17
50278,Police Officer,85329.06,9104.55,7046.55,101480.16,15826.05,13890.29,1698.68,31415.02,132895.18
5009,Police Officer,85336.95,3312.85,4965.31,93615.11,15689.29,13890.29,2610.61,32190.19,125805.3
36590,Police Officer,85336.96,7051.57,6871.7,99260.23,15772.38,13890.28,2042.96,31705.62,130965.85
22266,Police Officer,66555.31,1246.02,1137.51,68938.84,11968.86,10803.56,4395.68,27168.1,96106.94
12526,Police Officer,88006.11,10854.21,8849.93,107710.25,16367.55,13890.29,1758.57,32016.41,139726.66
13076,Police Officer,85329.05,6333.12,6307.36,97969.53,15689.33,13890.29,2775.54,32355.16,130324.69
42212,Police Officer,72932.88,9453.14,5844.24,88230.26,13596.68,11279.42,1487.21,26363.31,114593.57
22043,Police Officer,54035.3,0,0,54035.3,9637.69,8745.74,4168.38,22551.81,76587.11
44421,Police Officer,124207.18,73949.66,8925.88,207082.72,21833.54,13890.29,554.7,36278.53,243361.25
54163,Police Officer,118780.93,5745.78,6223.91,130750.62,20886.1,13890.29,2157.91,36934.3,167684.92
57025,Police Officer,88064.96,12619.37,7147,107831.33,16378.51,13890.3,1805.74,32074.55,139905.88
33491,Police Officer,85336.92,6128.31,6372.93,97838.16,15772.35,13890.28,2017.63,31680.26,129518.42
47460,Police Officer,85329.09,10944.25,4872.05,101145.39,15772.45,13890.3,2008.98,31671.73,132817.12
21554,Police Officer,118214.57,6102.21,9450.29,133767.07,20789.8,13825.98,2050.19,36665.97,170433.04
11516,Police Officer,116945.28,5590.38,4155.31,126690.97,20569.15,13679.04,2116.3,36364.49,163055.46
32901,Police Officer,85509.06,18264.07,8940.1,112713.23,15899.95,13890.28,1822.69,31612.92,144326.15
24928,Police Officer,85336.94,6546.73,4521.26,96404.93,15826,13890.3,1306.5,31022.8,127427.73
54321,Police Officer,105994.95,18182.58,11850.61,136028.14,19681.65,13890.29,2232.69,35804.63,171832.77
5108,Police Officer,109441.08,11997.51,6408.89,127847.48,20318.13,13890.29,2143.13,36351.55,164199.03
35945,Police Officer,11175.5,0,0,11175.5,1983.66,1800.59,862.59,4646.84,15822.34
17705,Police Officer,107776.16,5827.17,11456.58,125059.91,20014.54,13890.29,2047.81,35952.64,161012.55
53029,Police Officer,73267.89,10709.84,6996.36,90974.09,13658.17,11318.01,1485.27,26461.45,117435.54
25895,Police Officer,66156.2,175.87,673.52,67005.59,11896.11,10739.25,4352.97,26988.33,93993.92
21052,Police Officer,85005.69,6850.27,9314.38,101170.34,15804.48,13825.98,1695.95,31326.41,132496.75
20310,Police Officer,60295.3,570,249.45,61114.75,10803.27,9774.65,4239.07,24816.99,85931.74
8474,Police Officer,54035.3,0,0,54035.3,9637.69,8745.74,4161.54,22544.97,76580.27
9633,Police Officer,118780.97,21811,20034.04,160626.01,20886.1,13890.28,2695.65,37472.03,198098.04
53625,Police Officer,31877.6,0,0,31877.6,5728.47,5196,2442.27,13366.74,45244.34
29072,Police Officer,11175.5,0,0,11175.5,1983.66,1800.59,864.19,4648.44,15823.94
30574,Police Officer,27650,4405.19,1702.04,33757.23,5186.72,3601.19,565.96,9353.87,43111.1
8877,Police Officer,88115.59,12962.86,5917.93,106996.38,16389.53,13890.29,1791.67,32071.49,139067.87
56080,Police Officer,75945.33,2864.91,2644.22,81454.46,13717.25,12346.92,4601.55,30665.72,112120.18
7135,Police Officer,85336.94,1400.01,4920.96,91657.91,15689.29,13890.29,2669.15,32248.73,123906.64
36693,Police Officer,85329.04,6310.26,2891.07,94530.37,15564.7,13890.29,3851.12,33306.11,127836.48
6,Police Officer,85329.07,5516.53,4167.11,95012.71,15772.42,13890.28,1969.99,31632.69,126645.4
29678,Police Officer,118603.44,29131.71,7012.98,154748.13,20857.39,13870.99,2636.45,37364.83,192112.96
43318,Police Officer,44326,0,0,44326,7878.6,7150.93,3414.02,18443.55,62769.55
17039,Police Officer,110832.04,19816.75,7847.8,138496.59,20572.25,13890.3,2315.65,36778.2,175274.79
16368,Police Officer,79556.36,24474.38,8532.89,112563.63,14816.05,12346.92,1889.03,29052,141615.63
48654,Police Officer,86749.11,18431.54,7957.15,113137.8,16137.74,13890.28,1885.04,31913.06,145050.86
47128,Police Officer,85529.05,16014.94,4990.61,106534.6,15903.59,13890.28,1783.89,31577.76,138112.36
12244,Police Officer,89899.34,21504.49,8681.64,120085.47,16720.4,13890.28,2012.3,32622.98,152708.45
50529,Police Officer,79556.35,27154.11,4779.57,111490.03,14816.05,12346.92,1870.93,29033.9,140523.93
48710,Police Officer,85336.92,7748.63,6820.17,99905.72,15772.35,13890.29,2054.61,31717.25,131622.97
14268,Police Officer,118780.88,2229.19,4377.9,125387.97,20886.1,13890.29,2023.12,36799.51,162187.48
