Employee Identifier,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
25111,Firefighter,78091.04,18134.67,4220.24,100445.95,14866.54,17131.35,1683.74,33681.63,134127.58
53995,Firefighter,124791.57,11401.5,12838.35,149031.42,23379.3,16102.45,2548.47,42030.22,191061.64
53258,Firefighter,136633.67,41897.61,19350.94,197882.22,27230.06,16822.68,3339.37,47392.11,245274.33
24631,Firefighter,40104,2199.92,1234.8,43538.72,7317.15,7613.94,2464.91,17396,60934.72
51568,Firefighter,77381.38,15919.74,7219.18,100520.3,15184.04,16977.01,1686.06,33847.11,134367.41
35911,Firefighter,57232.59,5191.21,5528.47,67952.27,11153.62,12210.91,1133.99,24498.52,92450.79
10234,Firefighter,70232.13,14721.35,7508.81,92462.29,13803.56,12398.37,1549.77,27751.7,120213.99
43970,Firefighter,118184.81,25381.41,19474.57,163040.79,24495.32,16822.68,2688.01,44006.01,207046.8
1134,Firefighter,118579.7,24094.58,17190.6,159864.88,24475.1,15896.67,2667.73,43039.5,202904.38
25107,Firefighter,117734.22,28122.14,23464.24,169320.6,22663.07,16757.93,2831.63,42252.63,211573.23
15750,Firefighter,40104.01,3116.55,1270.28,44490.84,7317.15,7613.94,2395.42,17326.51,61817.35
9768,Firefighter,119258.64,46561.91,21129.36,186949.91,23711.28,16977.02,3134.66,43822.96,230772.87
34297,Firefighter,118163.35,19722.11,13625.31,151510.77,23224.77,16822.68,2535.12,42582.57,194093.34
45939,Firefighter,40813.66,2128.95,1008.89,43951.5,7454.93,7768.28,2467.64,17690.85,61642.35
30116,Firefighter,118661.21,6446.7,19476.14,144584.05,23304.89,16822.69,2392.04,42519.62,187103.67
41829,Firefighter,85612.98,24415.53,9653.04,119681.55,16798.65,16977.02,2005.49,35781.16,155462.71
19247,Firefighter,118184.8,20659.83,12711.83,151556.46,23206.76,16822.68,2494.42,42523.86,194080.32
6264,Firefighter,82924.41,3061.46,11743.23,97729.1,16829.55,16822.68,1635.47,35287.7,133016.8
38303,Firefighter,119258.64,56880.5,19794.35,195933.49,24720.14,16977.02,3225.46,44922.62,240856.11
49045,Firefighter,109178.27,12543.28,5088.46,126810.01,20107.56,16205.33,2137.51,38450.4,165260.41
1038,Firefighter,118184.81,18239.25,19475.13,155899.19,23163.23,16822.68,2601.04,42586.95,198486.14
40048,Firefighter,119258.65,45646.3,22282.6,187187.55,23842.07,16977.02,3155.29,43974.38,231161.93
13295,Firefighter,119258.64,3568.75,37341.64,160169.03,23860.35,16977.02,2699.33,43536.7,203705.73
8391,Firefighter,113726.13,30310.98,15452.4,159489.51,21715.72,16977.02,2730.69,41423.43,200912.94
40498,Firefighter,85612.98,2308.23,13976.89,101898.1,17670.89,16977.02,1708.21,36356.12,138254.22
40205,Firefighter,119258.62,56878.21,28236.53,204373.36,25253.99,16977.02,3492.06,45723.07,250096.43
47267,Firefighter,7200,0,0,7200,1278,1286.14,532.41,3096.55,10296.55
56956,Firefighter,105962.89,28744.77,12824.44,147532.1,20241.46,14837.21,2447.6,37526.27,185058.37
47532,Firefighter,119258.65,18684.45,19516.68,157459.78,23425.6,16977.01,2644.9,43047.51,200507.29
17464,Firefighter,77381.39,37688.41,6964.51,122034.31,15184.04,16977.02,1979.8,34140.86,156175.17
37834,Firefighter,119258.65,42684.43,19900.01,181843.09,23425.6,16977.02,3064.22,43466.84,225309.93
7067,Firefighter,7200,0,0,7200,1278,1286.14,550.73,3114.87,10314.87
4506,Firefighter,7200,0,21.6,7221.6,1278,1286.14,556.45,3120.59,10342.19
43011,Firefighter,40813.66,0,1384.9,42198.56,7454.93,7768.28,2443.62,17666.83,59865.39
55661,Firefighter,112444.57,34173.81,18240.35,164858.73,23305.36,16822.68,2701.65,42829.69,207688.42
46939,Firefighter,118184.82,27256.7,19650.38,165091.9,23212.38,16822.68,2759.07,42794.13,207886.03
10550,Firefighter,119280.09,4400.08,20374.7,144054.87,23425.05,16977.02,2363.09,42765.16,186820.03
11424,Firefighter,7200,0,0,7200,1278,1286.14,555.64,3119.78,10319.78
28480,Firefighter,70308.96,26940.1,1593.28,98842.34,12804.69,14301.85,3328.39,30434.93,129277.27
44809,Firefighter,1073.84,0,9050.34,10124.18,217.02,154.33,147.89,519.24,10643.42
33353,Firefighter,118184.82,41118.92,19436.68,178740.42,23212.37,16822.68,3050.63,43085.68,221826.1
9056,Firefighter,70192.23,14721.05,7049.34,91962.62,13785.44,15433.66,1542.13,30761.23,122723.85
17381,Firefighter,105110.1,3522.2,14014.23,122646.53,19994.23,14890.65,2085.7,36970.58,159617.11
45637,Firefighter,7200,0,0,7200,1278,1286.14,554.77,3118.91,10318.91
39326,Firefighter,118529.36,40740.72,23197.66,182467.74,23284,16616.89,2951.55,42852.44,225320.18
25439,Firefighter,20453.69,0,722.85,21176.54,3940.97,2414.53,349.11,6704.61,27881.15
15275,Firefighter,85612.93,21004.87,12574.65,119192.45,17722.34,16977.02,1953.6,36652.96,155845.41
11420,Firefighter,7200,0,0,7200,1278,1286.14,554.77,3118.91,10318.91
14958,Firefighter,119571.85,34492.99,23181.27,177246.11,24280.1,16462.57,2781.29,43523.96,220770.07
18683,Firefighter,81212.86,40114.1,7329.65,128656.61,15690.08,16977.02,2159.25,34826.35,163482.96
6312,Firefighter,119258.64,55543.97,35060.64,209863.25,26040.8,16977.01,3581.55,46599.36,256462.61
24769,Firefighter,119280.11,1761.1,19595.15,140636.36,23532.57,16977.02,2336.42,42846.01,183482.37
18301,Firefighter,118184.81,73763.46,23662.14,215610.41,23212.36,16822.68,3694.39,43729.43,259339.84
45816,Firefighter,119258.65,132728.94,19207,271194.59,23425.6,16977.02,4598.21,45000.83,316195.42
41669,Firefighter,47016,7475.55,2820.96,57312.51,8796.24,4630.1,977.93,14404.27,71716.78
2713,Firefighter,119258.63,47299.34,22758.42,189316.39,23436.7,16977.01,3174.83,43588.54,232904.93
41655,Firefighter,103611.92,37608.7,19192.36,160412.98,20706.83,14666.8,2694.51,38068.14,198481.12
33020,Firefighter,112908.4,30984.24,15088.78,158981.42,22558.49,16861.53,2666.78,42086.8,201068.22
35615,Firefighter,119244.32,23397.83,18640.68,161282.83,23272.76,16616.9,2740.6,42630.26,203913.09
54612,Firefighter,118184.82,11902.14,19812.59,149899.55,23212.36,16822.68,2513.41,42548.45,192448
48619,Firefighter,118216.77,8462.4,12608.45,139287.62,22037.17,16771.24,2318.03,41126.44,180414.06
48809,Firefighter,85612.97,47589.79,14325.75,147528.51,17745.05,16977.02,2512.45,37234.52,184763.03
13057,Firefighter,119258.63,52784.17,19756.56,191799.36,23376.45,16977.02,3272.1,43625.57,235424.93
5296,Firefighter,115588.78,32194.07,21129.78,168912.63,23016.28,16449.57,2824.75,42290.6,211203.23
43468,Firefighter,116037.14,26358.72,19489.3,161885.16,22785.92,16514.01,2721.2,42021.13,203906.29
14748,Firefighter,118184.8,9329.14,31331.31,158845.25,25785.56,16822.68,2847.6,45455.84,204301.09
19354,Firefighter,118184.79,59823.17,18760.05,196768.01,23163.22,16822.68,3245,43230.9,239998.91
50222,Firefighter,119280.05,7179.21,18609.83,145069.09,23259.23,16977.03,2480.03,42716.29,187785.38
29955,Firefighter,118184.8,50997.54,24022.62,193204.96,22841.13,16822.68,3190.59,42854.4,236059.36
25850,Firefighter,125822.84,49098.62,26440.71,201362.17,26514.26,16977.02,3381.23,46872.51,248234.68
12782,Firefighter,119258.63,75782.6,21701.56,216742.79,23797.53,16977.02,3714.28,44488.83,261231.62
43066,Firefighter,118184.84,5326.27,13822.01,137333.12,22283.89,16822.68,2299.15,41405.72,178738.84
25612,Firefighter,82742.06,25178.58,5713.88,113634.52,15740.01,16822.68,1903.57,34466.26,148100.78
16492,Firefighter,119258.62,47749.23,23712.97,190720.82,24298.96,16977.02,3199.45,44475.43,235196.25
42562,Firefighter,118607.84,34159.27,19530.39,172297.5,23299.23,16874.13,2861.04,43034.4,215331.9
30135,Firefighter,80477.22,1863.02,8083.58,90423.82,15790.47,16925.58,1477.1,34193.15,124616.97
40501,Firefighter,119258.61,27693.25,20777.14,167729,24720.14,16977.02,2815.38,44512.54,212241.54
36214,Firefighter,118184.83,1761.1,15648.78,135594.71,22573.43,16822.68,2305.81,41701.92,177296.63
43847,Firefighter,7200,0,0,7200,1278,1286.14,555.64,3119.78,10319.78
18967,Firefighter,32484.61,1741.5,5001.01,39227.12,6257.82,4602.13,702.7,11562.65,50789.77
48338,Firefighter,124550.17,16273.44,24730.58,165554.19,25975.31,16822.68,2796.68,45594.67,211148.86
10603,Firefighter,119258.65,74435.98,19675.75,213370.38,23436.7,16977.02,3780.18,44193.9,257564.28
52522,Firefighter,119258.66,3468.51,20333.66,143060.83,23521.23,16977.02,2434.04,42932.29,185993.12
10467,Firefighter,119258.67,19558.04,19623.58,158440.29,23425.6,16977.02,2644.51,43047.13,201487.42
12898,Firefighter,76685.52,7864,5157.88,89707.4,14599.25,16822.69,1503.68,32925.62,122633.02
38770,Firefighter,119735.1,6219.59,16759.95,142714.64,23416.3,16977.02,1546.04,41939.36,184654
32958,Firefighter,119258.6,110250.39,20248,249756.99,23327.04,16977.02,4266.17,44570.23,294327.22
13847,Firefighter,118184.83,19105.75,21665.56,158956.14,23625.08,16822.68,419.23,40866.99,199823.13
30630,Firefighter,118184.79,68666.05,18729.08,205579.92,23126.13,16822.69,3454.33,43403.15,248983.07
28137,Firefighter,119258.62,71992.45,19529.29,210780.36,23467.22,16977.02,3611.33,44055.57,254835.93
19484,Firefighter,79259.73,22904.41,2570.68,104734.82,14600.15,16977.02,1753.91,33331.08,138065.9
53779,Firefighter,12708,0,0,12708,2303.96,2315.05,979.95,5598.96,18306.96
8169,Firefighter,113782.27,65619.49,18451.83,197853.59,22251.64,16205.33,3387.63,41844.6,239698.19
55727,Firefighter,119258.64,24835.78,14476.65,158571.07,22434.97,16977.02,2646.17,42058.16,200629.23
32495,Firefighter,76614.54,6332.25,7331.16,90277.95,15032.34,16822.69,1512.33,33367.36,123645.31
34877,Firefighter,119258.66,15339.14,19512.9,154110.7,23425.6,16977.02,2587.59,42990.21,197100.91
43853,Firefighter,125682.59,3449.94,26942.53,156075.06,26519.69,16925.57,2635.61,46080.87,202155.93
51829,Firefighter,108752.18,5053,17608.59,131413.77,21361.26,16977.02,2245.64,40583.92,171997.69
17482,Firefighter,86220.32,7411.36,7523.92,101155.6,16919.09,16977.02,1693.21,35589.32,136744.92
52233,Firefighter,118062.89,22796.62,12471.5,153331.01,21848.4,16063.86,2596.44,40508.7,193839.71
40194,Firefighter,77381.39,9335.74,7358.06,94075.19,15184.04,16977.02,1525.53,33686.59,127761.78
48858,Firefighter,7200,0,0,7200,1278,1286.14,532.41,3096.55,10296.55
20157,Firefighter,76685.53,16513.94,7793.72,100993.19,15046.12,16822.68,1642.13,33510.93,134504.12
53975,Firefighter,132197.96,6225.59,13971.63,152395.18,25267.21,15022.09,2544.18,42833.48,195228.66
19856,Firefighter,119280.04,40801.02,18937.47,179018.53,22772.09,16977.02,3035.94,42785.05,221803.58
